2025-09-04T13:11:18.595901Z - Result: 176023680645013966468226945392411250770384383304492191886725992896575345044216019675, Time: 1.2752ms, Memory 163.8750KB
2025-09-04T13:12:15.709149600Z - Result: 176023680645013966468226945392411250770384383304492191886725992896575345044216019675, Time: 0.9858ms, Memory 81.9297KB
2025-09-04T13:12:35.069920900Z - Result: 176023680645013966468226945392411250770384383304492191886725992896575345044216019675, Time: 1.0870ms, Memory 81.9297KB
2025-09-04T13:17:15.699119400Z - Result: 176023680645013966468226945392411250770384383304492191886725992896575345044216019675, Time: 1.1178ms, Memory 81.9297KB
2025-09-04T13:17:24.345058100Z - Result: 39909473435004422792081248094960912600792570982820257852628876326523051818641373433549136769424132442293969306537520118273879628025443235370362250955435654171592897966790864814458223141914272590897468472180370639695334449662650312874735560926298246249404168309064214351044459077749425236777660809226095151852052781352975449482565838369809183771787439660825140502824343131911711296392457138867486593923544177893735428602238212249156564631452507658603400012003685322984838488962351492632577755354452904049241294565662519417235020049873873878602731379207893212335423484873469083054556329894167262818692599815209582517277965059068235543139459375028276851221435815957374273143824422909416395375178739268544368126894240979135322176080374780998010657710775625856041594078495411724236560242597759185543824798332467919613598667003025993715274875, Time: 3.6930ms, Memory 1493.0781KB
2025-09-04T13:18:02.423726600Z - Result: 3878968454388325633701916308325905312082127714646245106160597214895550139044037097010822916462210669479293452858882973813483102008954982940361430156911478938364216563944106910214505634133706558656238254656700712525929903854933813928836378347518908762970712033337052923107693008518093849801803847813996748881765554653788291644268912980384613778969021502293082475666346224923071883324803280375039130352903304505842701147635242270210934637699104006714174883298422891491273104054328753298044273676822977244987749874555691907703880637046832794811358973739993110106219308149018570815397854379195305617510761053075688783766033667355445258844886241619210553457493675897849027988234351023599844663934853256411952221859563060475364645470760330902420806382584929156452876291575759142343809142302917491088984155209854432486594079793571316841692868039545309545388698114665082066862897420639323438488465240988742395873801976993820317174208932265468879364002630797780058759129671389634214252579116872755600360311370547754724604639987588046985178408674382863125, Time: 5.4356ms, Memory 2298.4375KB
2025-09-04T13:18:24.318384400Z - Result: 377013149387799945333900224880775791236117337930100445535490043525045843539648818562578569150145472631258140598040875416901451349878686710189798735122954887088454924500028574003068434783807870575430696066439101846750599745829545721693784957073273631818673420751972327938538799801845560513422262958882244516053880771140410978978788942838058153862334417256446852231577242261307228498349256708182071208335817888584565766108075330781175405119280446072770439376209526520001751104214901240319492664624851096737783185573483303395157215338535471110527043630771804782569715147171393026481175856948947183228899948494260568208750719855268516476269647878714108168277444438804007613683373880351707165423524328506540659186023484368510133227968867699680214790847184799670735773757954844122828271297646621289176554762574427786113873868257758061282170336001273324376526581229870956568892731479303850890073064863486442100376745831539591175879381143478831554126208085279063513741706269326525112915577755575469466383184602256762543155745636219359236200272816189871334546629683994275939790168821520825923115371290776425534079797676308190573421064864056358117445863611087717811034416870861710009856863627270553744159738699063771087537466728943484891875282416138475233419592000, Time: 5.6334ms, Memory 2579.0391KB
2025-09-04T13:18:32.373864900Z - Result: 36643483050372328322763589672816049218571543934175989626270698720728011459961452615205304474088508634285133393772080143860609858437637289909505603382510796045818812761764843963097882756899306880632339149624457792521065549662450746982954629516070098764978344151183599533003076277908774345939181724390901980527597663311555613033194153844866587511336793498907902783405698117902719459066855627353047337434107530829780633602911908426389755252823713762551462513907377077479794770248229483843646633681833549215123470585482715472809087383941758904346522640847918233307726932886610834511442709077969599000511722444264347175538294548185363876202654698511562719377096542631053943527028083011034249574050544328985535168955291671366036244479158743237803279520401188053252788470288847800035137267512317663342926011439333402801452136904199295820198703432837127533865033077917441010089802284149246910370407338605473066356582210888458052852205569170152356850628426912688415908336529818984499627245623589210650557134791498344835054794775623211187554679169981434112608914574843324668332643775010924705690019102274575145613483922681596385654759233269444264241619526680808134173728034947587278323338845059843941403722357555875001230291335579485064878430855934357730321907669366710759730431158502094644082670389464425638942201877393180553647515377317433628216098889451332718516720207276058883659104584529812229076091130643430114436305262385420314059450210042195431947096493318081320875, Time: 9.9495ms, Memory 3742.6953KB
2025-09-04T13:19:02.320564900Z - Result: 29024234394678003634860226286235087051304671341148101085401339280672570969690925993116367508261574212136285302738559820331106772270121697621001773961688063080789771066057584928391348174427435132098173245360079575804611924398166166161739169214592574908445813790661603973215349454888524922670554185026324880484725281341377068887721335156907809602623063455972600194703279586500152806754186369966528128842360373649852266172488432112659316873699362623591476646368655774473496446924864670021668489012999452186823164282569272420823521037212225972379998631917334007956182586265648617643808706346946627544681977060583696666350228611171016530624424422107718139109603277144819227505947573680481397279123903518794779610107247790435479699539748915429376488288069121172105632303555106858972721645639064078435395137524289100728643182166368846155896124531503582660407509170681368609401529397451075823525365004685397558800311866221128222002616962617539991086068802550118545660116112992545784145728616197882932372242812978215600263529433503407566207193976165421200048398069902352912250945901988521457594718939696085535495440708983149144745231883221079428931539719067753417212690922577110628054477338920623071477770157778681573691778019709072597805354691245612166667021772646341039118986567040738745490647074381470375910961717994977014154856036884579595101834624722042131796359609536982676057071615059465412173537931862777328128448908983611435132448335807621284385203530938716229302361282462191136595325, Time: 10.1407ms, Memory 3863.1563KB
2025-09-05T11:10:15.703066900Z - Result: 190392490709135, Time: 0.6048ms, Memory 82.2188KB
2025-09-05T11:10:42.891150300Z - Result: 832040, Time: 0.4753ms, Memory 82.2188KB
2025-09-05T11:12:20.505184300Z - Result: 832040, Time: 0.4161ms, Memory 82.2188KB
2025-09-05T11:25:42.476942400Z - Label: DP Fib Result: 832040, Time: 0.4118ms, Memory 82.2188KB
2025-09-05T11:26:35.200777100Z - Label: 'DP Fib' Result: 832040, Time: 0.3579ms, Memory 82.2188KB
2025-09-05T11:55:01.507086Z - Label: 'DP Fib' Result: 832040, Time: 0.3340ms, Memory 82.2188KB
2025-09-05T11:55:01.512526900Z - Label: 'DP FibTab' Result: 832040, Time: 0.0638ms, Memory 45.1484KB
2025-09-05T20:10:14.144615800Z - Label: 'DP FibTab' Result: 832040, Time: 0.0843ms, Memory 45.1563KB
2025-09-05T20:10:14.153476Z - Label: 'DP Fib' Result: 832040, Time: 0.7451ms, Memory 82.2188KB
2025-09-05T20:10:38.555200Z - Label: 'DP FibTab' Result: 832040, Time: 0.0637ms, Memory 45.1641KB
